"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1305746538","AMBOHINIHAONANA_AMBODIMANGA NOSIVOLO",2406.24085224641,1,-21.2540876348326,47.8401014554181,49
"w1305881973","AMBOHINIHAONANA_AMBODIMANGA NOSIVOLO",2419.35710977304,2,-21.2564686684723,47.8419536611164,12
"w1305881920","AMBOHINIHAONANA_AMBODIMANGA NOSIVOLO",2453.58082445577,3,-21.2519539290813,47.8423735398517,9
"w1305881994","AMBOHINIHAONANA_AMBODIMANGA NOSIVOLO",2453.87216303844,4,-21.2604526502347,47.8431582561644,29
"w1305881960","AMBOHINIHAONANA_AMBODIMANGA NOSIVOLO",2461.46641963872,5,-21.2542449526317,47.843535045258,19
"w1309784138","AMBOHINIHAONANA_AMBODIVOANGY",2276.19097222222,1,-21.1746708868219,47.9519722312942,398
"w1309784152","AMBOHINIHAONANA_AMBODIVOANGY",2317.71788194444,2,-21.1752905325905,47.9531244701244,11
"w1309784105","AMBOHINIHAONANA_AMBODIVOANGY",2456.35503472222,3,-21.1836802933795,47.961287211464,10
"w1309027639","AMBOHINIHAONANA_AMBODIVOANGY",2471.68576388889,4,-21.187302704086,47.9614999445086,79
"w1309784123","AMBOHINIHAONANA_AMBODIVOANGY",2497.65625,5,-21.1856158294777,47.9622916932906,6
"w1305004568","AMBOHINIHAONANA_AMBOHIMAHAVELO",2097.4304,1,-21.2939677812535,47.9427426699561,15
"w1305004574","AMBOHINIHAONANA_AMBOHIMAHAVELO",2106.8176,2,-21.2947895080574,47.9417299920622,10
"w1305058571","AMBOHINIHAONANA_AMBOHIMAHAVELO",2122.4192,3,-21.2922924079336,47.9450944626942,7
"w1305004558","AMBOHINIHAONANA_AMBOHIMAHAVELO",2160.464,4,-21.2933332877229,47.9392746075281,6
"w1305058601","AMBOHINIHAONANA_AMBOHIMAHAVELO",2160.8624,5,-21.2976678955656,47.9452997749205,8
