"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1280175507","AMBODIARA_MAROSAKAIZA",1628.45726495726,2,-20.63495473353,48.0119417718754,85
"w1303834649","AMBODIARA_MAROSAKAIZA",1639.14957264957,3,-20.6414469189791,47.9986632062428,7
"w1303829298","AMBODIARA_MAROSAKAIZA",1868.53846153846,4,-20.635883447977,48.013602917306,15
"w1278398528","AMBODIARA_MAROSAKAIZA",2451.79487179487,5,-20.6315159045797,47.99390752035,7
"w1280523069","AMBODIARA_VOHIMASINA",2372.07451923077,1,-20.699945089847,48.0317768479492,116
"w1280870293","AMBODIARA_VOHIMASINA",2769.38461538462,2,-20.706253485774,48.0332585827521,10
"w1280488773","AMBODIARA_VOHIMASINA",3002.28846153846,3,-20.6886617585214,48.0263490790546,26
"w1303461660","AMBODIARA_VOHIMASINA",3051.40384615385,4,-20.6978789720145,48.0204103405108,5
"w1303461654","AMBODIARA_VOHIMASINA",3238.84134615385,5,-20.7028280015876,48.0197790431734,7
"w1280096611","AMBODIARA_VOHITROMBY",2505.2751572327,1,-20.6906891904073,47.93246579919,100
"w1280096605","AMBODIARA_VOHITROMBY",2535.69182389937,2,-20.689656971195,47.9329656354288,11
"w1303824010","AMBODIARA_VOHITROMBY",2622.25157232704,3,-20.6926216752682,47.9400065102365,5
"w1280096581","AMBODIARA_VOHITROMBY",2749.5393081761,4,-20.6901001284314,47.9428273175768,6
"w1279275152","AMBODIARA_VOHITROMBY",2785.86949685535,5,-20.697627915682,47.928288496129,23
"w1250706503","AMBODILAFA_AMBALAHASINA",1776.43595505618,1,-20.5600787663286,48.1193126393406,139
"w1250706502","AMBODILAFA_AMBALAHASINA",1834.74831460674,2,-20.5599892515278,48.1180291929979,5
"w1278067956","AMBODILAFA_AMBALAHASINA",1906.69213483146,3,-20.5635601167305,48.1187182120012,8
"w1258991034","AMBODILAFA_AMBALAHASINA",1983.44719101124,4,-20.568690320305,48.1145014356956,7
"w1250706542","AMBODILAFA_AMBALAHASINA",2049.93033707865,5,-20.5691131942135,48.1106246511583,5
"w1250267031","AMBODILAFA_AMBINANITRANOMARO",2234.73166023166,1,-20.601746727741,48.0969045592619,78
"w1250267036","AMBODILAFA_AMBINANITRANOMARO",2292.23552123552,2,-20.6016560232947,48.0958173536939,9
"w1255181862","AMBODILAFA_AMBINANITRANOMARO",2295.70656370656,3,-20.5990628571187,48.0997343726776,59
"w1250267037","AMBODILAFA_AMBINANITRANOMARO",2318.69111969112,4,-20.6018271894744,48.0953629170448,24
"w1250267039","AMBODILAFA_AMBINANITRANOMARO",2350.78378378378,5,-20.6022379052494,48.0948832108016,14
"w1253609310","AMBODILAFA_AMBODILAFA",143.148507462687,1,-20.5092412712143,48.1800938386221,1146
"w1257424600","AMBODILAFA_AMBODILAFA",430.80671641791,2,-20.5096153303726,48.1764839382924,10
"w1257424601","AMBODILAFA_AMBODILAFA",538.821641791045,3,-20.5102252954125,48.175141045685,78
"w1260589215","AMBODILAFA_AMBODILAFA",759.99552238806,4,-20.5091039328933,48.1738589034492,15
"w1257424697","AMBODILAFA_AMBODILAFA",797.3,5,-20.5127685204164,48.1753271670712,27
"w1257834814","AMBODILAFA_AMBODIMANGA II",1750.57827476038,1,-20.4805699486246,48.2048069798016,161
"w1293589039","AMBODILAFA_AMBODIMANGA II",1778.88817891374,2,-20.4769194266749,48.210045444526,9
"w1258148795","AMBODILAFA_AMBODIMANGA II",1853.19968051118,3,-20.4760813617285,48.2133022008841,11
"w1258148788","AMBODILAFA_AMBODIMANGA II",1903.06389776358,4,-20.4754838301449,48.2144300197101,82
"w1258148787","AMBODILAFA_AMBODIMANGA II",1956.58146964856,5,-20.4760084725173,48.2147456772473,7
"w1250784500","AMBODILAFA_AMBOHITSARA I",628.116600790514,1,-20.5181133684313,48.1504922112018,321
"w1250784403","AMBODILAFA_AMBOHITSARA I",906.389328063241,2,-20.514533008897,48.1524006729746,5
"w1250784416","AMBODILAFA_AMBOHITSARA I",956.250988142292,3,-20.5174592110169,48.1479638309701,7
"w1247659573","AMBODILAFA_AMBOHITSARA I",1363.9604743083,4,-20.5062063622052,48.1524329103361,122
"w1280544769","AMBODILAFA_AMBOHITSARA I",1616.69367588933,5,-20.52556758258,48.1566416022069,6
"w1255948566","AMBODILAFA_AMPASIMBOLA",1394.81506849315,1,-20.4112294306286,48.1621507144549,172
"w1255948623","AMBODILAFA_AMPASIMBOLA",1584.14840182648,2,-20.4084615211743,48.1635224786236,25
"w1256572061","AMBODILAFA_AMPASIMBOLA",1633.87442922374,3,-20.4126812040138,48.169473025455,5
"w1256562669","AMBODILAFA_AMPASIMBOLA",1672.93378995434,4,-20.4106215829865,48.171855524622,59
"w1257426777","AMBODILAFA_AMPASIMBOLA",1882.9703196347,5,-20.4063567789234,48.1694474991895,5
"w1255172929","AMBODILAFA_ANDOHALOBE",876.463126843658,1,-20.6127569784965,48.1653674289764,150
"w1256023669","AMBODILAFA_ANDOHALOBE",1138.15339233038,2,-20.6114191504304,48.1620919351189,5
"w1255185244","AMBODILAFA_ANDOHALOBE",1160.38348082596,3,-20.6086225092347,48.167110491074,70
"w1256023651","AMBODILAFA_ANDOHALOBE",1368.21828908555,4,-20.6063004919198,48.1628836153043,5
"w1255172829","AMBODILAFA_ANDOHALOBE",1450.94690265487,5,-20.6176323744124,48.1684333484339,5
"w1258524149","AMBODILAFA_ANTANAMBAO I",436.318518518519,1,-20.5090070889946,48.2154197305306,104
"w1258597182","AMBODILAFA_ANTANAMBAO I",501.151851851852,2,-20.5094550633253,48.2129104113272,32
"w1258524154","AMBODILAFA_ANTANAMBAO I",520.544444444444,3,-20.5088969028806,48.2128288376253,42
"w1258514977","AMBODILAFA_ANTANAMBAO I",534.444444444444,4,-20.507818462681,48.2150176949278,8
"w1258245524","AMBODILAFA_ANTANAMBAO I",670.433333333333,5,-20.5068179689435,48.2136149265385,8
"w1256477460","AMBODILAFA_ANTANJOMANGA",560.651315789474,1,-20.5437890861918,48.1625195393769,221
"w1256477459","AMBODILAFA_ANTANJOMANGA",881.667763157895,2,-20.541866160602,48.161354457327,11
"w1280496562","AMBODILAFA_ANTANJOMANGA",1245.30263157895,3,-20.5453608629209,48.168492590635,6
"w1257832942","AMBODILAFA_ANTANJOMANGA",1892.68092105263,4,-20.553494135096,48.1704403050111,8
"w1260598160","AMBODILAFA_ANTANJOMANGA",1957.29276315789,5,-20.5372064038768,48.1724387993802,5
"w1258246660","AMBODILAFA_FARAFASINA",289.055172413793,1,-20.5112704082224,48.1968595729752,222
"w1260568852","AMBODILAFA_FARAFASINA",807.534482758621,2,-20.5094413906563,48.2030127551877,9
"w1258106754","AMBODILAFA_FARAFASINA",940.865517241379,3,-20.5093521319675,48.2057509766395,49
"w1258246735","AMBODILAFA_FARAFASINA",1952.65172413793,4,-20.5238598062499,48.1924940760267,5
"w1280503148","AMBODILAFA_FARAFASINA",2906.74137931034,5,-20.5320443759444,48.1929811163368,5
"w1253614682","AMBODILAFA_MAROVATO I",1252.48104265403,1,-20.4909325079205,48.1669951376737,270
"w1261793295","AMBODILAFA_MAROVATO I",1840.40047393365,2,-20.4891536235168,48.1622448912021,5
